dates,brand,total_users_reached,total_cost,sponsored_products_s,sponsored_products_u,sponsored_brands_s,sponsored_brands_u,video_s,video_u,OTT_s,OTT_u,sponsored_display_s,sponsored_display_u,display_s,display_u,sales,converted_users
2022-09-16,Brand G,1569709,17964.38303999998,7820.309999999999,3442,0.0,0,0.0,0,0.0,0,0.0,0,10144.07303999998,1566267,31868.65,3935
2022-09-16,Brand LA,831477,5057.009149999998,0.0,0,0.0,0,188.6266499999997,17262,0.0,0,0.0,0,4868.382499999998,814215,2858.4,653
2022-09-16,Brand LO,5753787,47095.71354000002,21847.17000000004,9885,0.0,0,0.0,0,0.0,0,0.0,0,25248.54353999998,5743902,79046.24,10393
2022-09-16,Brand M,2395053,34441.966780000024,20682.53000000001,17170,0.0,0,0.0,0,0.0,0,0.0,0,13759.436780000013,2377883,58987.03,11012
2022-09-16,Brand N,2990745,23233.938690000003,11545.790000000005,10920,0.0,0,0.0,0,0.0,0,36.14,18,11652.00869,2979807,35394.68,6081
2022-09-16,Brand R,599658,7348.439939999991,252.2,130,0.0,0,0.0,0,0.0,0,0.0,0,7096.239939999991,599528,10916.76,1105
2022-09-17,Brand C,1562273,25173.796330000037,0.0,0,0.0,0,592.6530800000005,30600,16591.52120000004,323699,0.0,0,7989.622049999998,1207974,14693.99,3932
2022-09-17,Brand G,1511567,17771.838889999977,8226.030000000008,3801,0.0,0,0.0,0,0.0,0,0.0,0,9545.808889999971,1507766,30660.79,3843
2022-09-17,Brand LA,709660,5087.818169999997,0.0,0,0.0,0,190.96373999999983,17823,0.0,0,0.0,0,4896.854429999997,691837,2071.74,571
2022-09-17,Brand LO,6803447,54677.796879999965,22902.28999999998,10171,0.0,0,0.0,0,0.0,0,0.0,0,31775.506879999983,6793276,75825.63,10095
2022-09-17,Brand M,2246955,34515.83361999999,21090.660000000003,20107,0.0,0,0.0,0,0.0,0,0.0,0,13425.173619999989,2226848,64549.9,11001
2022-09-17,Brand N,2915081,23672.631310000004,12505.190000000002,12154,0.0,0,0.0,0,0.0,0,30.690000000000005,17,11136.75131,2902910,34000.65,6063
2022-09-17,Brand R,642875,7325.628670000003,212.48,130,0.0,0,0.0,0,0.0,0,0.0,0,7113.148670000003,642745,11525.29,1079
