brand,total_users_reached,total_cost,sponsored_products_s,sponsored_products_u,sponsored_brands_s,sponsored_brands_u,video_s,video_u,OTT_s,OTT_u,sponsored_display_s,sponsored_display_u,display_s,display_u,sales,converted_users
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,8954233,154305.55024079003,39769.11000000002,25122,6714.120000000003,56881,7459.153469099998,319806,23896.33503538,677980,225.78,101,76241.05173631001,7874343,239050.72999999998,39568
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,8952858,155848.59543556004,40094.14000000003,24690,6697.69,56434,7104.357232469995,303554,24531.909166729954,707886,224.81,114,77195.68903636005,7860180,219288.11000000002,36682
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,8919614,156817.66909643,40954.64999999995,25828,6833.880000000001,56438,6954.136435800008,299812,25329.349693579985,734319,231.15999999999994,100,76514.49296705006,7803117,230798.42,38978
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,9207707,154777.05370207998,41896.050000000025,27093,6925.46,52657,6945.034178850005,298620,21718.87991306997,631889,359.42999999999984,185,76932.19961016,8197263,244247.53999999998,40587
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,9505372,154323.2796293,41753.89000000001,26273,6540.959999999999,54051,6968.014705669992,294612,23504.695368049954,665833,321.69,160,75234.02955558004,8464443,244149.2,39875
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,9394476,157722.26135969997,41433.46000000001,25704,6712.870000000003,55925,6975.655428719988,299551,24325.031788830005,674017,16.41,6,78258.83414214998,8339273,241213.77999999997,39990
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,9513088,161937.29011229004,41755.950000000026,25830,6764.02,57946,6823.181559789997,303731,25601.07430080993,795512,12.29,3,80980.77425169008,8330066,235462.21,38869
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,10055854,161218.29472101005,41814.18000000002,26019,6721.5999999999985,54393,6824.696194519984,305897,25462.581538279977,813536,24.57,6,80370.66698821005,8856003,227271.06,38281
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,10075094,163726.19777077003,42328.000000000044,26839,6813.659999999999,57235,7023.756070609991,313420,25146.74277931996,828109,51.730000000000004,14,82362.30892084003,8849477,219432.47999999998,36400
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,10548893,163544.54401155005,43157.94000000001,27824,6809.6399999999985,52407,6703.237916359991,300505,24131.16825252998,808049,67.34,19,82675.21784266009,9360089,231000.62999999998,38363
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,10282196,161042.92604711006,42628.29000000002,27546,6594.709999999999,51267,6429.821355969988,289737,22132.641637509976,737646,19.130000000000003,9,83238.33305363006,9175991,240413.66,40224
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,10596414,167434.40671091998,40444.69999999997,26728,6637.530000000001,54960,6504.002682609995,292171,23468.82847208,764145,5.609999999999999,2,90373.73555623002,9458408,245143.78,40315
